MidDistance,Correlation
1995,0.08629392
2850,0.048882656
4225,0.035629393
5480,0.080159052
6705,-0.005707529
7910,0.028769082
8145,0.018989955
9510,0.03094854
11130,0.030983676
11625,0.020500316
12425,-0.00764481
14190,-0.011577022
15495,0.028864893
16050,0.014560992
16760,-0.004448081
17245,0.001283928
17680,-0.021604685
18110,-0.000596432
18465,0.011979654
18725,-0.024877038
18990,0.012765066
19365,-0.015863423
20040,0.007521995
20725,-0.031325751
21440,0.051830298
22235,0.069057559
22830,0.097071031
23520,0.004982695
24085,0.037119482
24325,0.031419546
24355,0.013424263
24430,0.040666958
24495,0.058726996
25030,0.018404529
25570,-0.00788103
855,0.244698155
2230,0.028092811
3485,-0.027587183
4710,0.041430336
5915,0.13429227
6150,0.096741758
7515,-0.014390421
9135,0.010852436
9630,0.011593167
10430,0.00718184
12195,0.059262991
13500,0.105739267
14055,0.05740422
14765,0.080670184
15250,0.09492477
15685,0.019480788
16115,0.002756069
16470,0.014665622
16730,0.056096439
16995,0.028035208
17370,0.056142343
18045,0.049787682
18730,0.081820913
19445,0.082182685
20240,0.136305218
20835,0.106836179
21525,-0.006691845
22090,0.020744115
22330,-0.009368211
22360,0.04358405
22435,-0.010664496
22500,-0.039978275
23035,-0.05118488
23575,0.03585713
1375,0.164634833
2630,0.080951371
3855,-0.011200745
5060,0.134880644
5295,0.103654312
6660,-0.001034266
8280,0.00812653
8775,-0.034549777
9575,-0.005180157
11340,0.012399259
12645,0.10074128
13200,0.072256634
13910,0.078569234
14395,0.096780887
14830,0.037184971
15260,0.021438652
15615,0.039174037
15875,0.059699052
16140,0.06159225
16515,0.064949646
17190,0.041017288
17875,0.08647591
18590,0.061653587
19385,0.105005779
19980,0.134928416
20670,0.033016859
21235,0.005545483
21475,-0.0230352
21505,0.031081122
21580,-0.004938148
21645,-0.021593186
22180,-0.051266008
22720,-0.000812704
1255,0.115275673
2480,0.004752238
3685,0.072227095
3920,0.126478647
5285,0.034188361
6905,-0.02453381
7400,0.016371857
8200,0.008732392
9965,0.018645818
11270,0.0153321
11825,0.015794782
12535,0.001632223
13020,0.027658027
13455,0.025716514
13885,-0.018293892
14240,-0.012123078
14500,-0.011104483
14765,0.205573197
15140,-0.010005061
15815,5.70198E-06
16500,-0.017006851
17215,-0.007196404
18010,0.03000533
18605,0.038501308
19295,0.048913381
19860,-0.010302723
20100,0.098053865
20130,0.086170849
20205,0.034295873
20270,-0.02034164
20805,-0.042138858
21345,0.033027533
1225,0.094773352
2430,-0.004047661
2665,-0.01421463
4030,0.070624158
5650,-0.047514693
6145,-0.036480735
6945,0.026575666
8710,-0.032305275
10015,-0.053441637
10570,0.013457118
11280,-0.061471223
11765,-0.064402204
12200,0.012265634
12630,0.004365221
12985,0.018160952
13245,0.057977126
13510,0.035568966
13885,-0.034936559
14560,0.000639065
15245,-0.084448622
15960,-0.037048008
16755,-0.021684066
17350,0.00453206
18040,0.008768558
18605,0.093818294
18845,0.173079542
18875,0.09313224
18950,0.178545563
19015,0.192624307
19550,0.180029272
20090,-0.030230378
1205,0.246390378
1440,0.150078671
2805,0.003988134
4425,0.006142998
4920,0.061339913
5720,0.018418312
7485,-0.010553417
8790,0.011727827
9345,0.054161574
10055,0.015771167
10540,0.01492067
10975,0.024252948
11405,0.018556931
11760,0.012835707
12020,0.004245417
12285,0.000894285
12660,0.026693777
13335,0.091715629
14020,0.038323669
14735,0.032864889
15530,0.068733691
16125,0.057854907
16815,0.005974809
17380,0.007907721
17620,-0.011628387
17650,0.031020762
17725,-0.017911808
17790,-0.002718587
18325,-0.019069687
18865,-0.026797535
235,0.391094238
1600,0.041912139
3220,0.018332327
3715,0.067551429
4515,0.116079497
6280,0.074880706
7585,0.140931143
8140,0.183566673
8850,0.222339515
9335,0.267252748
9770,0.110640299
10200,0.045406748
10555,0.04482577
10815,0.012749537
11080,0.107850375
11455,0.202100523
12130,0.209565585
12815,0.142640863
13530,0.172487309
14325,0.298537842
14920,0.272140206
